model,fold,train_rows,test_rows,accuracy,precision_macro,recall_macro,f1_macro,seconds
xgboost,1,15443,3861,0.9987049987049987,0.998716344984457,0.99837870538415,0.998547356006351,2.648942577001435
xgboost,2,15443,3861,0.9984459984459985,0.9979263381006933,0.9981813707043425,0.9980518195686635,1.7963397030034685
xgboost,3,15443,3861,0.9984459984459985,0.9978425927249113,0.9978425927249113,0.9978425927249113,0.33030561700070393
xgboost,4,15443,3861,0.9997409997409997,0.9998790956353525,0.9995395948434623,0.9997091751844701,2.4647815300013463
xgboost,5,15444,3860,0.9981865284974093,0.996564377018943,0.9981349915937635,0.9973439044678726,0.29587881800034666
