dataset,rank,model,accuracy,precision_macro,recall_macro,f1_macro,seconds
LUAD,1,random_forest,0.9999481972648155,0.9998250218722659,0.999975805085771,0.9999003900709197,4.246616625998286
LUAD,2,xgboost,0.9987049316203895,0.9981818229848757,0.9984152782165124,0.9982984521208441,7.5468629999995755
LUAD,3,logistic_regression,0.9859614587650228,0.9651431224024086,0.9934431782439331,0.9787280303869159,0.31746971100074006
LUAD,4,support_vector_machine,0.9754973062577704,0.9431773070906814,0.9875149351469368,0.9639527108046643,11.418624537000142
LUAD,5,naive_bayes,0.73932863655201,0.678373091067303,0.8717279412080025,0.7132868004223675,0.15188995800053817
