dataset,rank,model,accuracy,precision_macro,recall_macro,f1_macro,seconds
PRAD,1,random_forest,1.0,1.0,1.0,1.0,4.530698676997417
PRAD,2,xgboost,0.9992015057320481,0.9977829326280653,0.9982258640120949,0.99800421820288,8.870223613001144
PRAD,3,logistic_regression,0.9867678092739406,0.943825485399786,0.9948482224146736,0.968081391739482,0.29037479700127733
PRAD,4,support_vector_machine,0.9811783493982775,0.9244868260056585,0.9905847754289091,0.9553754064395886,8.173800090997247
PRAD,5,naive_bayes,0.6451833685051047,0.5435641824196474,0.857646408900381,0.5592971993742557,0.12864045700189308
