model,fold,train_rows,test_rows,accuracy,precision_macro,recall_macro,f1_macro,seconds
xgboost,1,14026,3507,0.9991445680068435,0.998341292070343,0.9972267280837261,0.9977828723999446,0.4007825180015061
xgboost,2,14026,3507,0.9985742800114058,0.9935278087452,0.9994448145680658,0.9964700671289156,4.7912512160000915
xgboost,3,14026,3507,0.9994297120045623,0.9997780736795384,0.9975579975579976,0.9986635096929214,1.928045867000037
xgboost,4,14027,3506,0.9991443240159726,0.9974646834893419,0.9983349243842249,0.9978938058138676,1.3660452969998005
xgboost,5,14027,3506,0.9997147746719909,0.9998889998889999,0.9985632183908045,0.999224548297585,0.3746398820003378
