model,fold,train_rows,test_rows,accuracy,precision_macro,recall_macro,f1_macro,seconds
naive_bayes,1,14026,3507,0.6401482748788138,0.5382679541910025,0.856363098249508,0.5526555255404689,0.026264332002028823
naive_bayes,2,14026,3507,0.6276019389791845,0.5340493799914096,0.8490041837293095,0.5437367977006201,0.024969848000182537
naive_bayes,3,14026,3507,0.6549757627601939,0.5484271888607442,0.8645351613372932,0.5674946597175071,0.023951339000632288
naive_bayes,4,14027,3506,0.6503137478608101,0.543841883933521,0.8587626748852598,0.5616472526546901,0.02393515499716159
naive_bayes,5,14027,3506,0.6528807758128922,0.5553637763923083,0.8595648877759654,0.5724176746964753,0.023165577000327175
