model,fold,train_rows,test_rows,accuracy,precision_macro,recall_macro,f1_macro,seconds
xgboost,1,14882,3721,0.998925020155872,0.9988870910362522,0.99841244619541,0.9986490225422918,0.35209253799985163
xgboost,2,14882,3721,0.998925020155872,0.9979389965393075,0.998410105547002,0.9981738060953486,8.230333864998101
xgboost,3,14882,3721,0.9986562751948401,0.9982801072376982,0.9979827551196516,0.9981312817153203,8.192300195998541
xgboost,4,14883,3720,0.9989247311827957,0.9982971477224352,0.9994815966822187,0.9988869901403469,4.2625103010032035
xgboost,5,14883,3720,0.9981182795698925,0.9958975391309335,0.998318750204227,0.997104181921717,0.4008447209998849
