dataset,rank,model,accuracy,precision_macro,recall_macro,f1_macro,seconds
KIRC,1,random_forest,0.9997849809170564,0.9995278294020947,0.9998367354005643,0.999682182726675,4.254873847999988
KIRC,2,xgboost,0.9987098855023383,0.9978566197325446,0.9985209623992498,0.9981884646868631,21.450346695997723
KIRC,3,logistic_regression,0.9877439122722141,0.969897379174732,0.9940892829366931,0.9815432203253541,0.39346337400274933
KIRC,4,support_vector_machine,0.9779067892275439,0.9498800992023315,0.9879888479060795,0.9678285859823971,10.49296903800132
KIRC,5,naive_bayes,0.6085040047304199,0.6377908818254451,0.8074561988159141,0.6203785891296208,0.14509008200184326
