source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048557,embryonic digestive tract morphogenesis,0.042944358584212805,True,"""The process in which the anatomical structures of the digestive tract are generated and organized during embryonic development. The digestive tract is the anatomical structure through which food passes and is processed."" [GOC:go_curators]",16,1831,6,18452,0.0032768978700163844,0.375,query_1,"['GO:0048546', 'GO:0048562', 'GO:0048566']"
GO:BP,GO:1900271,regulation of long-term synaptic potentiation,0.043103714325073365,True,"""Any process that modulates the frequency, rate or extent of long-term synaptic potentiation."" [GOC:BHF, GOC:TermGenie]",38,1831,10,18452,0.005461496450027308,0.2631578947368421,query_1,"['GO:0048167', 'GO:0060291']"
GO:BP,GO:0001504,neurotransmitter uptake,0.043103714325073365,True,"""The directed movement of neurotransmitters into neurons or glial cells. This process leads to inactivation and recycling of neurotransmitters."" [ISBN:0123668387]",38,1831,10,18452,0.005461496450027308,0.2631578947368421,query_1,"['GO:0006836', 'GO:0098657']"
GO:BP,GO:0048167,regulation of synaptic plasticity,0.04359385267902367,True,"""A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers."" [GOC:dph, GOC:jid, GOC:tb, PMID:11891290]",180,1831,30,18452,0.016384489350081924,0.16666666666666666,query_1,"['GO:0050804', 'GO:0065008']"
GO:BP,GO:0021954,central nervous system neuron development,0.043909060369689806,True,"""The process whose specific outcome is the progression of a neuron whose cell body is located in the central nervous system, from initial commitment of the cell to a neuronal fate, to the fully functional differentiated neuron."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]",77,1831,16,18452,0.008738394320043691,0.2077922077922078,query_1,"['GO:0021953', 'GO:0048666']"
GO:BP,GO:0042632,cholesterol homeostasis,0.043909060369689806,True,"""Any process involved in the maintenance of an internal steady state of cholesterol within an organism or cell."" [GOC:go_curators]",77,1831,16,18452,0.008738394320043691,0.2077922077922078,query_1,['GO:0055092']
GO:BP,GO:0048012,hepatocyte growth factor receptor signaling pathway,0.04418903267074357,True,"""The series of molecular signals initiated by a ligand binding to a hepatocyte growth factor receptor, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]",57,1831,13,18452,0.0070999453850355,0.22807017543859648,query_1,['GO:0007169']
GO:BP,GO:0002028,regulation of sodium ion transport,0.04418903267074357,True,"""Any process that modulates the frequency, rate or extent of the directed movement of sodium ions (Na+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:dph]",57,1831,13,18452,0.0070999453850355,0.22807017543859648,query_1,"['GO:0006814', 'GO:0010959']"
GO:BP,GO:0036006,cellular response to macrophage colony-stimulating factor stimulus,0.04418903267074357,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a macrophage colony-stimulating factor stimulus."" [GOC:yaf, PMID:14687666]",57,1831,13,18452,0.0070999453850355,0.22807017543859648,query_1,"['GO:0036005', 'GO:0071345']"
GO:BP,GO:1905039,carboxylic acid transmembrane transport,0.0458744716009666,True,"""The process in which carboxylic acid is transported across a membrane."" [GO_REF:0000069, GOC:TermGenie, PMID:10869563]",135,1831,24,18452,0.013107591480065538,0.17777777777777778,query_1,"['GO:0046942', 'GO:0055085']"
GO:BP,GO:0044003,symbiont-mediated perturbation of host process,0.04605609920737766,True,"""A process in which a symbiont alters or subverts a biological process in its host organism. The host is defined as the larger of the organisms involved in a symbiotic interaction."" [GOC:cc]",4,1831,3,18452,0.0016384489350081922,0.75,query_1,"['GO:0035821', 'GO:0051701']"
